,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
0,Saint Paul Harbor,90,US,1594674936,76,57.79,57.79,14.0,5.7
1,Airai,24,TL,1594674648,86,-8.93,-8.93,12.38,1.92
2,Santa Barbara,1,US,1594674772,60,34.42,34.42,30.0,3.6
3,Pisco,90,PE,1594674936,87,-13.7,-13.7,16.67,3.1
4,Mataura,94,NZ,1594674702,83,-46.19,-46.19,3.89,1.34
5,Albany,15,US,1594674682,41,42.6,42.6,31.11,4.52
6,Port Elizabeth,0,ZA,1594674937,54,-33.92,-33.92,13.0,6.2
7,Dongying,100,CN,1594674937,82,37.46,37.46,21.03,1.52
8,Upernavik,61,GL,1594674915,85,72.79,72.79,5.32,4.06
9,Mae Sai,75,TH,1594674938,100,20.43,20.43,24.0,2.1
10,Norman Wells,40,CA,1594674803,52,65.28,65.28,20.0,1.5
11,Bengkulu,93,ID,1594674581,88,-3.8,-3.8,23.94,1.83
12,New Norfolk,4,AU,1594674794,91,-42.78,-42.78,5.0,0.91
13,Vila Velha,0,BR,1594674900,78,-20.33,-20.33,25.0,4.6
14,Isabela,100,PH,1594674939,83,6.71,6.71,25.67,2.72
15,Muros,12,ES,1594674939,75,42.78,42.78,18.89,4.47
16,Atuona,24,PF,1594674795,77,-9.8,-9.8,26.41,8.65
17,Kokstad,0,ZA,1594674940,53,-30.55,-30.55,5.7,0.21
18,Karratha,7,AU,1594674918,40,-20.74,-20.74,17.95,3.62
19,Ust'-Kut,5,RU,1594674940,83,56.79,56.79,16.09,0.44
20,Nikolskoye,20,RU,1594674557,76,59.7,59.7,13.0,2.0
21,Ossora,97,RU,1594674941,85,59.24,59.24,13.82,2.21
22,Yellowknife,90,CA,1594674773,93,62.46,62.46,16.0,8.7
23,Saskylakh,94,RU,1594674773,60,71.92,71.92,16.22,4.02
24,Butaritari,72,KI,1594674644,75,3.07,3.07,27.75,1.41
25,Mount Isa,17,AU,1594674942,49,-20.73,-20.73,9.0,3.6
26,Kapaa,20,US,1594674561,69,22.08,22.08,28.0,7.7
27,Bilibino,46,RU,1594674942,61,68.05,68.05,16.0,1.53
28,Ushuaia,40,AR,1594674617,80,-54.8,-54.8,1.0,9.8
29,High Level,90,CA,1594674943,72,58.52,58.52,16.0,5.1
30,Kaitangata,66,NZ,1594674802,82,-46.28,-46.28,6.11,2.24
31,Hilo,20,US,1594674634,61,19.73,19.73,28.0,3.1
32,Burnie,0,AU,1594674943,80,-41.07,-41.07,5.56,1.79
33,Vardø,4,NO,1594674811,81,70.37,70.37,8.0,2.1
34,Beli Potok,2,RS,1594674944,55,44.71,44.71,17.0,1.5
35,Ketchikan,90,US,1594674944,77,55.34,55.34,15.0,5.1
36,Kutum,74,SD,1594674944,26,14.2,14.2,30.16,1.12
37,Sioux Lookout,90,CA,1594674505,44,50.1,50.1,26.0,6.2
38,Acapulco de Juárez,5,MX,1594674463,66,16.86,16.86,31.0,3.6
39,Barrow,90,US,1594674772,78,71.29,71.29,3.0,5.7
40,Palmer,40,US,1594674946,51,42.16,42.16,30.0,2.1
41,Sola,75,VU,1594674946,83,-13.88,-13.88,27.0,3.1
42,East London,0,ZA,1594674561,41,-33.02,-33.02,16.06,11.04
43,Punta Arenas,100,CL,1594674947,84,-53.15,-53.15,2.0,2.6
44,Grindavik,75,IS,1594674947,81,63.84,63.84,10.0,2.1
45,Mount Gambier,0,AU,1594674516,100,-37.83,-37.83,4.0,2.06
46,Thompson,75,CA,1594674789,93,55.74,55.74,18.0,3.1
47,Busselton,82,AU,1594674567,72,-33.65,-33.65,12.22,8.26
48,Cherskiy,6,RU,1594674814,61,68.75,68.75,15.92,0.98
49,Qrendi,20,MT,1594674949,88,35.83,35.83,25.0,2.1
50,Aasiaat,90,GL,1594674949,92,68.71,68.71,4.09,4.36
51,Ulsteinvik,100,NO,1594674949,82,62.34,62.34,13.0,5.1
52,Celestún,12,MX,1594674949,65,20.87,20.87,30.09,5.62
53,Zhangye,64,CN,1594674950,47,38.93,38.93,21.71,0.99
54,Ostrovnoy,63,RU,1594674950,87,68.05,68.05,6.39,1.38
55,Constitución,18,CL,1594674579,73,-35.33,-35.33,14.87,3.56
56,Turaif,0,SA,1594674699,37,31.67,31.67,28.0,6.2
57,Hermanus,99,ZA,1594674646,77,-34.42,-34.42,9.44,2.24
58,Tuatapere,51,NZ,1594674951,83,-46.13,-46.13,3.89,1.34
59,Iqaluit,20,CA,1594674782,34,63.75,63.75,19.0,7.7
60,Lebu,0,CL,1594674805,71,-37.62,-37.62,10.55,1.85
